"Sku,","Product, ","Brand,","Style,","Qty on hand,","Qty on shelf,","Qty Ordered on shelf,","Qty in carts,","Qty Sold,","Total Waitlist,","Total Waitlist Authorized,","Price,","Cost,","Size,","Color,","Location,","Shipping,",Weight,
1033,Cool Mint Tank,TheMadHatterStoreTN,,2,0,0,0,0,0,0,38.99,17.25,XL,,,,16,i-45
1033,Cool Mint Tank,TheMadHatterStoreTN,,0,0,0,0,0,0,0,38.99,17.25,1XL,,,,16,i-46
1033,Cool Mint Tank,TheMadHatterStoreTN,,0,0,0,0,0,0,0,38.99,17.25,2XL,,,,16,i-47
1040,Coral Kimono *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,35.99,17.25,XL/1XL,,,,16,i-48
1040,Coral Kimono *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,35.99,17.25,1X/2XL,,,,16,i-49
1022,Covered In Leopard,TheMadHatterStoreTN,,1,0,0,0,0,0,0,62.99,25,XL,,,,16,i-50
1022,Covered In Leopard,TheMadHatterStoreTN,,0,0,0,0,0,0,0,62.99,25,3XL,,,,16,i-51
1022,Covered In Leopard,TheMadHatterStoreTN,,0,0,0,0,0,0,0,62.99,25,2XL,,,,16,i-52
1047,Dalmatian Dress *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,49.99,24.5,XL,,,,16,i-53
1047,Dalmatian Dress *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,49.99,24.5,1XL,,,,16,i-54
1047,Dalmatian Dress *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,49.99,24.5,2XL,,,,16,i-55
1089,Denim Toole Top,TheMadHatterStoreTN,,2,0,0,0,0,0,0,32.99,15,XL,,,,16,i-56
1089,Denim Toole Top,TheMadHatterStoreTN,,2,0,0,0,0,0,0,32.99,15,2XL,,,,16,i-57
1089,Denim Toole Top,TheMadHatterStoreTN,,2,0,0,0,0,0,0,32.99,15,3XL,,,,16,i-58
1037,Desert in the Sun Dress,TheMadHatterStoreTN,,3,0,0,0,0,0,0,41.99,18.38,XL,,,,16,i-59
1037,Desert in the Sun Dress,TheMadHatterStoreTN,,2,0,0,0,0,0,0,41.99,18.38,1XL,,,,16,i-60
1037,Desert in the Sun Dress,TheMadHatterStoreTN,,1,0,0,0,0,0,0,41.99,18.38,2XL,,,,16,i-61
1021,Distressed Denim Jacket,TheMadHatterStoreTN,,0,0,0,0,0,0,0,35.99,16.5,1XL,,,,16,i-62
1021,Distressed Denim Jacket,TheMadHatterStoreTN,,0,0,0,0,0,0,0,35.99,16.5,2XL,,,,16,i-63
1021,Distressed Denim Jacket,TheMadHatterStoreTN,,0,0,0,0,0,0,0,35.99,16.5,3XL,,,,16,i-64
1007,Floral Fun *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,39.99,18.75,1XL,Sky Blue,,,16,i-65
1007,Floral Fun *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,39.99,18.75,1XL,Lime Green,,,16,i-66
1007,Floral Fun *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,39.99,18.75,2XL,Sky Blue,,,16,i-67
1007,Floral Fun *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,39.99,18.75,2XL,Lime Green,,,16,i-68
1007,Floral Fun *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,39.99,18.75,3XL,Sky Blue,,,16,i-69
1007,Floral Fun *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,39.99,18.75,3XL,Lime Green,,,16,i-70
1050,Flower Girl Dress *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,49.99,21.25,XL,,,,16,i-71
1050,Flower Girl Dress *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,49.99,21.25,1XL,,,,16,i-72
1050,Flower Girl Dress *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,49.99,21.25,2XL,,,,16,i-73
1060,Flower Power Kimono,TheMadHatterStoreTN,,0,0,0,0,0,0,0,45.99,0,XL,,,,16,i-74
1060,Flower Power Kimono,TheMadHatterStoreTN,,2,0,0,0,0,0,0,45.99,0,2X,,,,16,i-75
1060,Flower Power Kimono,TheMadHatterStoreTN,,2,0,0,0,0,0,0,45.99,0,3X,,,,16,i-76
1017,Frayed Tank,TheMadHatterStoreTN,,3,0,0,0,0,0,0,31.99,0,XL,BLACK,,,16,i-77
1017,Frayed Tank,TheMadHatterStoreTN,,3,0,0,0,0,0,0,31.99,0,XL,HOT PINK,,,16,i-78
1017,Frayed Tank,TheMadHatterStoreTN,,2,0,0,0,0,0,0,31.99,0,1XL,BLACK,,,16,i-79
1017,Frayed Tank,TheMadHatterStoreTN,,2,0,0,0,0,0,0,31.99,0,1XL,HOT PINK,,,16,i-80
1017,Frayed Tank,TheMadHatterStoreTN,,0,0,0,0,0,0,0,31.99,0,2XL,BLACK,,,16,i-81
1017,Frayed Tank,TheMadHatterStoreTN,,1,0,0,0,0,0,0,31.99,0,2XL,HOT PINK,,,16,i-82
1064,Fuchsia Top,TheMadHatterStoreTN,,1,0,0,0,0,0,0,19.99,0,XL,,,,16,i-83
1064,Fuchsia Top,TheMadHatterStoreTN,,2,0,0,0,0,0,0,19.99,0,2XL,,,,16,i-84
1064,Fuchsia Top,TheMadHatterStoreTN,,1,0,0,0,0,0,0,19.99,0,3XL,,,,16,i-85
1010,Get Lucky *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,33.99,16.75,1XL,,,,16,i-86
1010,Get Lucky *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,33.99,16.75,2XL,,,,16,i-87
1010,Get Lucky *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,33.99,16.75,3XL,,,,16,i-88
1012,Gettin' Snakey,TheMadHatterStoreTN,,0,0,0,0,0,0,0,29.99,14.5,1XL,,,,16,i-89
1012,Gettin' Snakey,TheMadHatterStoreTN,,1,0,0,0,0,0,0,29.99,14.5,2XL,,,,16,i-90
1012,Gettin' Snakey,TheMadHatterStoreTN,,0,0,0,0,0,0,0,29.99,14.5,3XL,,,,16,i-91
1025,Girl's Night Out Romper *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,49.99,18.5,1X,,,,16,i-92
1025,Girl's Night Out Romper *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,49.99,18.5,2X,,,,16,i-93
1025,Girl's Night Out Romper *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,49.99,18.5,3X,,,,16,i-94
1038,Golden Sunflower *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,42.99,17.25,XL,,,,16,i-95
1038,Golden Sunflower *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,42.99,17.25,1XL,,,,16,i-96
1038,Golden Sunflower *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,42.99,17.25,2XL,,,,16,i-97
1028,Good Vibes Tee,TheMadHatterStoreTN,,0,0,0,0,0,0,0,27.99,0,1XL,,,,16,i-98
1028,Good Vibes Tee,TheMadHatterStoreTN,,2,0,0,0,0,0,0,27.99,0,2XL,,,,16,i-99
1028,Good Vibes Tee,TheMadHatterStoreTN,,0,0,0,0,0,0,0,27.99,0,3XL,,,,16,i-100
1014,Hot Pink Hottie *Final Sale*,TheMadHatterStoreTN,,3,0,0,0,0,0,0,34.99,18.25,XL,,,,16,i-101
1014,Hot Pink Hottie *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,34.99,18.25,1XL,,,,16,i-102
1014,Hot Pink Hottie *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,34.99,18.25,2XL,,,,16,i-103
1020,Jump Into Summer *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,45.99,18.25,XL,,,,16,i-104
1020,Jump Into Summer *Final Sale*,TheMadHatterStoreTN,,0,0,0,0,0,0,0,45.99,18.25,1XL,,,,16,i-105
1020,Jump Into Summer *Final Sale*,TheMadHatterStoreTN,,1,0,0,0,0,0,0,45.99,18.25,2XL,,,,16,i-106
1006,Just Peachy *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,46.99,23.9,1XL,,,,16,i-107
1006,Just Peachy *Final Sale*,TheMadHatterStoreTN,,2,0,0,0,0,0,0,46.99,23.9,2XL,,,,16,i-108
